"player_id","player_name","position","team","week","n_simulations","mean","median","floor","ceiling","p15","p85","probability_zero","probability_active","active_mean","active_p15","active_p85"
"GesiMi00","Mike Gesicki","TE","CIN",1,100,7.0915,6.15,2.2925,12.03,2.2925,12.03,0.05,1,7.0915,2.2925,12.03
"SampDy00","Dylan Sampson","RB","CLE",1,100,7.088,5.15,1.57,12.33,1.57,12.33,0.01,1,7.088,1.57,12.33
"IosiAn00","Andrei Iosivas","WR","CIN",1,100,7.055,6.3,1.4,11.845,1.4,11.845,0.07,1,7.055,1.4,11.845
"VidaKi00","Kimani Vidal","RB","LAC",1,100,7.053,5.6,1.655,12.79,1.655,12.79,0.01,1,7.053,1.655,12.79
"HolaGe01","George Holani","RB","SEA",1,100,7.0346,5.75,1.6,12.6,1.6,12.6,0.01,1,7.0346,1.6,12.6
"SamuDe00","Deebo Samuel Sr.","WR","SF",1,100,7.026,5.2,1.1,13.13,1.1,13.13,0.1,1,7.026,1.1,13.13
"BigsTa00","Tank Bigsby","RB","PHI",1,100,7.02,6.25,1.57,12.9,1.57,12.9,0.03,1,7.02,1.57,12.9
"McMiJa00","Jalen McMillan","WR","TB",1,100,6.9592,6.1,1.2,12.6,1.2,12.6,0.04,1,6.9592,1.2,12.6
"BechJa00","Jack Bech","WR","LV",1,100,6.888,5.7,0.865,13.695,0.865,13.695,0.11,1,6.888,0.865,13.695
"HillJu00","Justice Hill","RB","BAL",1,100,6.853,5.35,1.37,12.3,1.37,12.3,0,1,6.853,1.37,12.3
"SchuDa00","Dalton Schultz","TE","HOU",1,100,6.8415,6.45,1.45,12.05,1.45,12.05,0.08,1,6.8415,1.45,12.05
"RodrCh01","Chris Rodriguez Jr.","RB","JAX",1,100,6.824,6,1.685,11.105,1.685,11.105,0.01,1,6.824,1.685,11.105
"DaviRa02","Ray Davis","RB","BUF",1,100,6.765,4.8,1.155,13.815,1.155,13.815,0,1,6.765,1.155,13.815
"KuppCo00","Cooper Kupp","WR","SEA",1,100,6.742,4.3,0.9,12.375,0.9,12.375,0.1,1,6.742,0.9,12.375
"WickDo00","Dontayvion Wicks","WR","PHI",1,100,6.7386,4.25,0,14.245,0,14.245,0.22,1,6.7386,0,14.245
"JohnRo07","Roschon Johnson","RB","CHI",1,100,6.732,4.2,0.77,13.2,0.77,13.2,0.02,1,6.732,0.77,13.2
